,UNITID,INSTNM_x,Percent of students over 23 at entry,WHITE,BLACK,ASIAN,HISPANIC,PCT_BORN_US,MEDIAN_HH_INC,POVERTY_RATE,UNEMP_RATE,LN_MEDIAN_HH_INC,numberOfStudentsNotWorkingAndNotEnrolled10YearsAfterEntry,numberOfStudentsWorkingAndNotEnrolled10YearsAfterEntry,meanEarningsOfStudentsWorkingAndNotEnrolled10yearsAfterEntry,logOfMeanEarnings,Standard deviation of earnings of students working and not enrolled 10 years after entry,INSTNM_y,CITY,STABBR,ZIP,LATITUDE,LONGITUDE,ADM_RATE,ADM_RATE_ALL,SAT_AVG,PCIP01,PCIP03,PCIP04,PCIP05,PCIP09,PCIP10,PCIP11,PCIP12,PCIP13,PCIP14,PCIP15,PCIP16,PCIP19,PCIP22,PCIP23,PCIP24,PCIP25,PCIP26,PCIP27,PCIP29,PCIP30,PCIP31,PCIP38,PCIP39,PCIP40,PCIP41,PCIP42,PCIP43,PCIP44,PCIP45,PCIP46,PCIP47,PCIP48,PCIP49,PCIP50,PCIP51,PCIP52,PCIP54
1882,174792,Saint Johns University,0,92.73999786,2.220000029,2.049999952,2.630000114,95.47000122,71469.52,4.320000172,2.549999952,11.14000034,PrivacySuppressed,559,64400,64.4,38100,Saint Johns University,Collegeville,MN,56321,45.580538,-94.39268,0.7408,0.740832815,1148,0,0.0323,0,0.0025,0,0,0.0473,0,0.01,0,0,0.0174,0,0,0.0697,0,0,0.1194,0.0249,0,0.0398,0,0.01,0.0025,0.0597,0,0.0448,0,0,0.1393,0,0,0,0,0.0124,0.0199,0.3184,0.0299
1883,174817,Saint Mary's University of Minnesota,0.230000004,87.68000031,4.610000134,3.039999962,4.789999962,92.43000031,70833.22,5.480000019,2.890000105,11.11999989,46,638,48400,48.4,29800,Saint Mary's University of Minnesota,Winona,MN,55987-1399,44.045322,-91.696652,0.7761,0.776088459,1046,0,0,0,0,0.025,0.0018,0.0518,0,0.0607,0,0.0161,0.0036,0,0,0.0179,0,0,0.0607,0.0036,0,0.0054,0,0.0161,0.0071,0.0107,0,0.0518,0.0679,0.0268,0.0107,0,0,0,0,0.0571,0.1214,0.3732,0.0107
1884,174844,St Olaf College,0,89.66000366,3.289999962,2.940000057,3.910000086,93.30000305,75732.77,4.489999771,2.809999943,11.18999958,57,783,53700,53.7,37200,St Olaf College,Northfield,MN,55057-1098,44.462884,-93.183633,0.3597,0.359661868,1282,0,0.0133,0,0.0369,0,0,0.0207,0,0.0162,0,0,0.0266,0,0,0.0753,0.0103,0,0.1507,0.0635,0,0.0074,0.0295,0.0251,0.0044,0.0827,0,0.0886,0,0.0148,0.1758,0,0,0,0,0.0975,0.0192,0,0.0414
1885,174862,Crown College,0.400000006,91.26000214,3.059999943,2.079999924,3.190000057,95.41999817,68899.21,5.150000095,2.769999981,11.10000038,78,400,36100,36.1,26700,Crown College,Saint Bonifacius,MN,55375-9001,44.885372,-93.743015,0.5295,0.529467681,1019,0,0,0,0,0.0945,0,0.01,0,0.1244,0,0,0,0,0,0.0149,0.0398,0,0.0299,0,0,0,0.0299,0,0.2886,0,0,0.1294,0.01,0,0,0,0,0,0,0.01,0.0945,0.1244,0
1886,174899,The College of Saint Scholastica,0.319999993,93.06999969,1.460000038,1.460000038,1.74000001,96.56999969,60287.14,6,3.450000048,10.97000027,112,1167,54800,54.8,32700,The College of Saint Scholastica,Duluth,MN,55811-4199,46.81544,-92.105738,0.6147,0.614655893,1067,0,0,0,0,0.0182,0,0.0279,0,0.0193,0,0,0.0011,0,0,0.0107,0.0075,0,0.0954,0.0021,0,0.0075,0,0,0,0.0161,0,0.0643,0,0.0857,0.0064,0,0,0,0,0.0075,0.4427,0.1833,0.0043
1887,174914,University of St Thomas,0.059999999,90.06999969,3.359999895,2.940000057,3,93.98999786,76939.14,4.050000191,2.49000001,11.21000004,89,1496,62000,62,41400,University of St Thomas,Saint Paul,MN,55105-1078,44.941662,-93.189422,0.8396,0.839587932,1202,0,0.0063,0,0,0.0662,0,0.0209,0,0.0334,0.0696,0,0.0063,0.0007,0,0.0188,0.0111,0,0.0794,0.0111,0,0.0097,0,0.039,0.0007,0.0167,0,0.0446,0,0.0146,0.0682,0,0,0,0,0.0042,0.0418,0.4297,0.007
1889,175005,St Catherine University,0.400000006,85.02999878,5.699999809,4.349999905,3.869999886,92.15000153,71786.79,5.730000019,2.849999905,11.14000034,136,1388,50100,50.1,29800,St Catherine University,Saint Paul,MN,55105,44.924542,-93.181925,0.6739,0.673891297,1032,0,0.0012,0,0.006,0.0322,0,0,0,0.043,0,0,0.0203,0.0024,0,0.0215,0.0024,0,0.0263,0.006,0,0.0048,0.0215,0.0107,0.0072,0.0095,0,0.0346,0.0024,0.0322,0.037,0,0,0,0,0.0107,0.5764,0.0847,0.0072
1892,175078,Southwest Minnesota State University,0.170000002,93.06999969,1.899999976,1.480000019,3.369999886,96.12000275,56697.45,6.070000172,2.890000105,10.92000008,85,1058,41200,41.2,29500,Southwest Minnesota State University,Marshall,MN,56258-5468,44.455023,-95.75983,0.6403,0.640337804,1008,0.044,0.0134,0,0,0.0249,0,0.0268,0.0172,0.1281,0,0,0,0,0,0.0287,0.0268,0,0.0229,0.0076,0,0.0038,0.0899,0.0057,0,0.0096,0,0.0574,0.044,0.0478,0.044,0,0,0,0,0.0402,0.0057,0.2925,0.0191
1899,175272,Winona State University,0.100000001,93.51000214,1.799999952,2.109999895,2.319999933,95.61000061,68678.3,4.239999771,2.680000067,11.10000038,168,2637,46100,46.1,27200,Winona State University,Winona,MN,55987-5838,44.04585,-91.644838,0.6246,0.624631268,1050,0,0,0,0,0.0656,0,0.0255,0,0.1236,0.0179,0,0.0108,0,0.0125,0.0103,0.0266,0,0.0548,0.007,0,0.0255,0.0808,0,0,0.0119,0,0.0298,0.0407,0.058,0.0266,0,0,0,0,0.0136,0.1963,0.154,0.0081
1902,175342,Alcorn State University,0.239999995,40.20999908,57.18000031,0.779999971,2.140000105,97.51000214,38329.94,22.07999992,5.46999979,10.51000023,134,885,33600,33.6,23200,Alcorn State University,Alcorn State,MS,39096-7500,31.877216,-91.142854,0.8056,0.805647841,871,0.0761,0,0,0,0.0105,0,0.021,0,0.0079,0,0.0105,0,0.0735,0,0.0184,0.0892,0,0.1391,0.0131,0.0472,0,0.0236,0,0,0.0236,0,0.0394,0.063,0.0577,0.0131,0,0,0,0,0.0105,0.189,0.0577,0.0157
1904,175430,Blue Mountain College,0.349999994,78.27999878,19.70999908,0.340000004,1.679999948,98.22000122,44968.64,12.19999981,3.289999962,10.68999958,PrivacySuppressed,157,29700,29.7,18900,Blue Mountain College,Blue Mountain,MS,38610-9509,34.67209,-89.02924,0.9921,0.992063492,990,0,0,0,0,0,0,0,0,0.256,0,0,0.024,0,0,0.024,0,0,0.064,0.024,0,0,0.04,0,0.192,0,0,0.192,0,0,0,0,0,0,0,0.024,0.008,0.12,0.032
1910,175616,Delta State University,0.239999995,45.15999985,52.77999878,0.639999986,1.600000024,98.34999847,39124.62,21.95999908,5.909999847,10.52999973,120,1001,37700,37.7,28200,Delta State University,Cleveland,MS,38733,33.747586,-90.73544,0.8698,0.869822485,970,0,0,0,0,0.0044,0,0,0,0.2035,0,0,0.0044,0.0796,0,0.0088,0.0044,0,0.073,0.0044,0,0.0664,0,0,0,0.0133,0,0.0332,0.0243,0.0619,0.0243,0,0,0,0.0155,0.0553,0.1062,0.2102,0.0066
1918,175856,Jackson State University,0.25,38.90999985,57.91999817,0.870000005,2.720000029,97.08999634,43401.54,19.13999939,5.329999924,10.61999989,271,2078,32800,32.8,24000,Jackson State University,Jackson,MS,39217,32.296781,-90.20663,0.6752,0.675171126,910,0,0,0,0,0.0283,0,0.0101,0,0.1769,0.0536,0.0293,0,0,0,0.0334,0,0,0.0667,0.0152,0,0.1132,0,0,0,0.0243,0,0.0374,0.0738,0.0809,0.0364,0,0,0,0,0.0212,0.0495,0.1405,0.0091
1921,175980,Millsaps College,0.050000001,70.19999695,25.29999924,1.669999957,3.859999895,95.27999878,56763.17,11.25,3.789999962,10.89000034,28,292,50400,50.4,31900,Millsaps College,Jackson,MS,39210-0001,32.3231,-90.178084,0.5264,0.52638775,1163,0,0,0,0,0.052,0,0,0,0.0173,0,0,0.0231,0,0,0.0462,0,0,0.2254,0.0347,0,0,0,0.0347,0,0.0462,0,0.0925,0,0.0058,0.0867,0,0,0,0,0.0289,0,0.2832,0.0231
1923,176017,University of Mississippi,0.209999993,70.44000244,26.53000069,1.049999952,2.220000029,96.91000366,53374.26,12.17000008,3.640000105,10.81000042,336,3509,52700,52.7,54300,University of Mississippi,University,MS,38677-1848,34.362144,-89.539377,0.7873,0.787252893,1118,0,0,0,0.0011,0.0407,0,0.0082,0,0.0722,0.0486,0,0.0128,0,0.0044,0.0221,0.0612,0,0.047,0.0044,0,0,0.0459,0.0022,0,0.015,0,0.0435,0.0388,0.0454,0.0353,0,0,0,0,0.0238,0.1776,0.2304,0.0194
1924,176035,Mississippi University for Women,0.330000013,60.70999908,37.09999847,0.649999976,1.299999952,98.09999847,43147.25,16.37000084,4.400000095,10.64999962,106,675,37800,37.8,26200,Mississippi University for Women,Columbus,MS,39701,33.493305,-88.418601,0.9613,0.961251863,1012,0,0,0,0.0013,0.018,0,0,0.0257,0.0296,0,0,0.0013,0.0077,0.0129,0.0232,0.0335,0,0.0193,0.0026,0,0,0.0335,0,0,0.0064,0,0.0232,0,0.0013,0.0064,0,0,0,0,0.0322,0.6319,0.0862,0.0039
1925,176044,Mississippi Valley State University,0.280000001,34.38000107,63.22000122,0.620000005,2.25,98.01999664,34674.56,25.21999931,6.880000114,10.42000008,211,928,26600,26.6,17800,Mississippi Valley State University,Itta Bena,MS,38941-1400,33.514142,-90.341274,0.7567,0.756709957,850,0,0,0,0,0.0526,0,0.0093,0,0.3065,0,0.0402,0,0,0,0.0217,0.0031,0,0.0372,0.0062,0,0,0,0,0,0.0124,0,0,0.0867,0.1548,0.0186,0,0,0,0,0.0186,0,0.2198,0.0124
1926,176053,Mississippi College,0.289999992,62.11999893,35.45000076,0.850000024,1.649999976,97.69999695,52824.92,13.21000004,3.890000105,10.81999969,114,980,44100,44.1,30600,Mississippi College,Clinton,MS,39058,32.334565,-90.330452,0.8248,0.824821246,1106,0,0,0,0,0.0403,0,0.0097,0,0.0902,0.0064,0,0.0322,0,0.0209,0.0209,0,0,0.0966,0.0129,0,0.0048,0.1224,0.0225,0.0016,0.0129,0,0.0612,0.0338,0.0242,0.0467,0,0,0,0,0.0451,0.1192,0.153,0.0225
1929,176080,Mississippi State University,0.150000006,64.33999634,32.81000137,0.870000005,1.769999981,97.58000183,46465.5,14.92000008,4.300000191,10.69999981,388,3309,47500,47.5,33000,Mississippi State University,Mississippi State,MS,39762,33.454809,-88.788979,0.6524,0.652418448,1140,0.0495,0.0209,0.0162,0,0.0483,0,0.0097,0.0006,0.0807,0.1373,0.0187,0.0109,0.0218,0,0.0093,0.0012,0,0.0517,0.0065,0,0.0607,0.0856,0.0056,0,0.0318,0,0.0536,0,0.0118,0.0467,0,0,0,0,0.0171,0.0047,0.1884,0.0106
1933,176318,Rust College,0.090000004,35.95000076,60.43000031,0.819999993,3.210000038,96.75,41256.82,20.53000069,6.039999962,10.57999992,60,416,25100,25.1,17200,Rust College,Holly Springs,MS,38635,34.776862,-89.446999,0.4149,0.414923686,780,0,0,0,0,0.1149,0,0.0541,0,0.2162,0,0,0,0,0,0.0338,0,0,0.2635,0.0203,0,0,0,0,0,0.0135,0,0,0,0.0811,0.0878,0,0,0,0,0.0135,0,0.1014,0
1936,176372,University of Southern Mississippi,0.239999995,68.09999847,28.97999954,0.99000001,1.830000043,97.23000336,46990.98,14.43999958,3.99000001,10.71000004,559,4604,41700,41.7,34900,University of Southern Mississippi,Hattiesburg,MS,39406-0001,31.327499,-89.33791,0.5804,0.580383725,1049,0,0,0.0013,0,0.0497,0,0.0232,0,0.1036,0,0.0286,0.011,0.024,0.0093,0.0257,0,0.0034,0.0459,0.0114,0,0.0337,0.051,0.0021,0,0.0211,0,0.0691,0.0438,0.0202,0.0303,0,0,0,0,0.0531,0.1356,0.1773,0.0257
1938,176406,Tougaloo College,0.07,40.31000137,56.11999893,0.870000005,3.319999933,96.77999878,44758.77,18.73999977,5.420000076,10.64999962,52,326,29600,29.6,20000,Tougaloo College,Tougaloo,MS,39174,32.402719,-90.159405,0.3912,0.391210685,844,0,0,0,0,0.0345,0,0.0276,0,0.0069,0,0,0,0.0207,0,0.0276,0,0,0.1517,0.0276,0,0.0345,0.069,0,0,0.0759,0,0.0621,0,0,0.3448,0,0,0,0,0.0345,0,0.0069,0.0759
1940,176479,William Carey University,0.379999995,68.22000122,28.47999954,1.159999967,2.400000095,96.87000275,45401.66,14.86999989,4.010000229,10.68999958,111,883,40900,40.9,29100,William Carey University,Hattiesburg,MS,39401-5499,31.305264,-89.291815,0.5689,0.56888361,1071,0,0,0,0,0.009,0,0,0,0.1354,0,0,0,0,0,0.0126,0.1011,0,0.0776,0.0108,0,0.0036,0.0505,0,0.0361,0.0036,0,0.148,0.0199,0,0.0108,0,0,0,0,0.0307,0.1986,0.148,0.0036
1943,176628,Avila University,0.319999993,81.62000275,11.89000034,1.850000024,5.059999943,94.44999695,67638.05,5.940000057,2.849999905,11.06999969,58,553,45100,45.1,27900,Avila University,Kansas City,MO,64145-1698,38.912159,-94.591387,0.5089,0.508919722,986,0,0,0,0,0.0669,0,0.0118,0,0.0472,0,0,0,0,0,0.0157,0,0,0.0157,0,0,0,0.0354,0.0079,0,0,0,0.0748,0,0.0512,0.0276,0,0,0,0,0.0787,0.3937,0.1575,0.0157
1948,176789,Calvary University,0.419999987,84.86000061,7.949999809,1.100000024,4.809999943,95.98000336,59014.41,8.659999847,3.400000095,10.93000031,37,123,36100,36.1,25300,Calvary University,Kansas City,MO,64147-1341,38.838169,-94.546238,0.9423,0.942307692,1010,0,0,0,0,0,0,0,0,0.0392,0,0,0,0,0,0,0,0,0,0,0,0.0392,0,0,0.7843,0,0,0,0,0,0,0,0,0,0,0.0588,0,0.0784,0
1950,176910,Central Christian College of the Bible,0.180000007,85.69999695,7.460000038,1.789999962,5.679999828,94.43000031,57236.66,7.760000229,3.200000048,10.90999985,35,130,31000,31,22700,Central Christian College of the Bible,Moberly,MO,65270-1997,39.395963,-92.427259,0.3491,0.349081365,985,0,0,0,0,0,0,0,0,0.0448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9552,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1951,176947,Central Methodist University-College of Liberal Arts and Sciences,0.310000002,91.87999725,4.659999847,0.74000001,2.349999905,97.45999908,49478.5,9.199999809,3.339999914,10.77999973,60,661,38600,38.6,22200,Central Methodist University-College of Liberal Arts and Sciences,Fayette,MO,65248-1198,39.150534,-92.685276,0.5786,0.576843556,1043,0,0.0079,0,0,0.0394,0,0.0315,0,0.1693,0,0,0,0.0236,0,0.0079,0,0,0.1063,0.0276,0,0.0709,0.0354,0.0079,0,0,0,0.0669,0.063,0,0.0039,0,0,0,0,0.0079,0.1811,0.1496,0
1952,176965,University of Central Missouri,0.159999996,89.01000214,6.96999979,0.959999979,2.519999981,96.80999756,57730.2,7.53000021,3.019999981,10.92000008,329,2786,41500,41.5,33500,University of Central Missouri,Warrensburg,MO,64093,38.755882,-93.737445,0.7945,0.794520548,1010,0.0102,0,0,0.0005,0.0496,0.0032,0.0226,0,0.139,0,0.0991,0.0043,0.0226,0,0.0065,0.0388,0,0.0415,0.0027,0,0.0043,0.0011,0.0027,0,0.0022,0,0.028,0.1002,0.0216,0.0318,0,0,0,0.0151,0.0587,0.1557,0.1277,0.0102
1955,177038,Cleveland University-Kansas City,0.579999983,84.01999664,8.739999771,1.860000014,5.199999809,94.55999756,61070.83,6.800000191,2.930000067,10.97000027,PrivacySuppressed,112,47900,47.9,42300,Cleveland University-Kansas City,Overland Park,KS,66210,38.932019,-94.679076,0.75,0.75,910,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1958,177083,Conception Seminary College,0.340000004,88.98000336,4.130000114,0.970000029,4.809999943,96.55000305,56643.16,8.020000458,2.690000057,10.88000011,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,#VALUE!,PrivacySuppressed,Conception Seminary College,Conception,MO,64433-0502,40.24044,-94.682831,1,1,1145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1960,177117,Cottey College,0,86.20999908,4.28000021,2.089999914,8.18999958,93.37000275,61289.57,7.210000038,3.160000086,10.97000027,PrivacySuppressed,138,33900,33.9,20900,Cottey College,Nevada,MO,64772,37.836127,-94.371311,0.7354,0.735436893,1049,0,0.0196,0,0,0,0,0,0,0,0,0,0,0,0,0.0098,0.7745,0,0,0,0,0,0,0,0,0,0,0.0686,0,0,0.0098,0,0,0,0,0.1078,0,0.0098,0
1963,177144,Culver-Stockton College,0.100000001,89.55000305,5.360000134,1.309999943,4.590000153,95.59999847,52894.01,8.329999924,3.220000029,10.84000015,35,460,40600,40.6,25300,Culver-Stockton College,Canton,MO,63435-1299,40.130064,-91.526682,0.5589,0.558874013,968,0,0,0,0,0.0485,0,0,0,0.0788,0,0,0,0,0.0182,0.0182,0.0788,0,0.0182,0.0121,0,0,0.0909,0.0121,0,0,0,0.0909,0.0909,0,0.0061,0,0,0,0,0.0545,0.1273,0.2121,0.0424
1964,177214,Drury University,0.479999989,93.15000153,2.470000029,0.949999988,2.25,96.77999878,45736.92,10.21000004,3.180000067,10.68999958,299,1455,35400,35.4,28000,Drury University,Springfield,MO,65802-3791,37.219757,-93.285773,0.842,0.842007435,1185,0,0.012,0.0392,0,0.0283,0,0.0076,0,0.0783,0,0,0.0076,0,0.0098,0.0381,0.1415,0,0.0925,0.0044,0,0,0.0196,0.0033,0,0.0174,0,0.123,0.0925,0.0283,0.0196,0,0,0,0,0.0457,0.0207,0.148,0.0229
1969,177339,Evangel University,0.140000001,88.73000336,4.579999924,1.610000014,4.949999809,95.08999634,58696.81,7.329999924,3.160000086,10.93000031,120,768,39300,39.3,27300,Evangel University,Springfield,MO,65802-2125,37.220956,-93.262614,0.6146,0.614555256,1064,0,0.0069,0,0,0.0787,0.0093,0.0116,0,0.1134,0,0,0.0093,0.0023,0,0.0116,0.0069,0,0.0463,0.0162,0,0,0.037,0.0069,0.1898,0.0023,0,0.0602,0.0162,0.0509,0.0347,0,0,0,0,0.0463,0.0116,0.2245,0.0069
1970,177418,Fontbonne University,0.529999971,71.52999878,24.81999969,1.50999999,1.49000001,96.04000092,60924.15,8.789999962,3.950000048,10.96000004,87,793,46400,46.4,30500,Fontbonne University,Saint Louis,MO,63105-3098,38.642697,-90.315712,0.9676,0.967611336,1050,0,0,0,0,0.0355,0,0.0097,0,0.1613,0,0,0,0.0516,0,0.0097,0.0355,0,0.0226,0.0194,0,0.0097,0.0355,0.0032,0,0,0,0.0419,0,0.1,0,0,0,0,0,0.0419,0.1097,0.3065,0.0065
1981,177746,Kansas City Art Institute,0.100000001,86.79000092,6.309999943,2.119999886,6.300000191,93.01999664,67668.37,5.849999905,2.690000057,11.06999969,42,254,32900,32.9,23100,Kansas City Art Institute,Kansas City,MO,64111-1874,39.046353,-94.583594,0.5802,0.580229226,1073,0,0,0,0.0566,0,0.1462,0,0,0.0236,0,0,0,0.0519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7217,0,0,0
1987,177968,Lindenwood University,0.310000002,84.23000336,11.56999969,1.350000024,3.609999895,95.86000061,68730.21,6.159999847,3.200000048,11.09000015,182,1900,44100,44.1,29900,Lindenwood University,Saint Charles,MO,63301-1695,38.788203,-90.502825,0.5539,0.553897979,1043,0,0,0,0.0012,0.0833,0,0.0638,0.0012,0.1094,0,0,0.0012,0,0,0.0128,0.0018,0,0.0164,0.0079,0,0,0.0681,0.0049,0.0018,0.0201,0,0.045,0.09,0.0134,0.0225,0,0,0,0,0.0486,0.0401,0.3337,0.0128
1991,178059,Maryville University of Saint Louis,0.319999993,89.01999664,7.579999924,1.440000057,1.600000024,96.41000366,70678.19,5.199999809,2.809999943,11.11999989,115,1049,50500,50.5,39000,Maryville University of Saint Louis,Saint Louis,MO,63141-7299,38.645474,-90.505096,0.7227,0.722717914,1145,0,0.0131,0,0,0.028,0,0.0019,0,0.0243,0,0,0,0,0.0131,0.0149,0.0075,0,0.0466,0.0056,0,0.0056,0.0336,0,0,0.0056,0,0.1045,0,0,0.0187,0,0,0,0,0.0634,0.3825,0.2239,0.0075
1995,178208,Midwestern Baptist Theological Seminary,0.569999993,91.19999695,3.869999886,1.25,3.650000095,96.33000183,63229.67,4.260000229,2.49000001,11.03999996,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,#VALUE!,PrivacySuppressed,Midwestern Baptist Theological Seminary,Kansas City,MO,64118-4697,39.185691,-94.573185,0.9655,0.965517241,983,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1997,178244,Missouri Baptist University,0.280000001,86.86000061,9.359999657,1.110000014,2.730000019,96.58999634,62761.71,7.150000095,3.329999924,11,71,520,38100,38.1,26000,Missouri Baptist University,Saint Louis,MO,63141-8698,38.642017,-90.462606,0.5744,0.574444444,961,0,0,0,0,0.0303,0,0.0055,0,0.2039,0,0,0,0.011,0,0.022,0.0028,0,0.0331,0.0028,0,0.0854,0.1129,0.0165,0.022,0.0028,0,0.0496,0.0523,0.0386,0.0055,0,0,0,0,0.0083,0.0413,0.2452,0.0083
2001,178341,Missouri Southern State University,0.349999994,91.18000031,2.180000067,0.689999998,3.230000019,97.01000214,46217,9.829999924,3.49000001,10.72000027,289,1768,36600,36.6,25600,Missouri Southern State University,Joplin,MO,64801-1595,37.095722,-94.460893,0.9413,0.941277325,1030,0,0,0,0,0.0168,0,0.0473,0,0.1075,0,0.0256,0.0118,0,0,0.0049,0.0621,0,0.0454,0.0049,0,0,0.0296,0,0,0.0108,0,0.0316,0.1824,0,0.0306,0,0,0,0,0.0286,0.145,0.213,0.002
2004,178396,University of Missouri-Columbia,0.07,87.44999695,8.109999657,1.789999962,2.309999943,95.69000244,66484.66,6.239999771,2.869999886,11.03999996,503,6130,54200,54.2,44100,University of Missouri-Columbia,Columbia,MO,65211-1050,38.941015,-92.326429,0.7813,0.781335274,1203,0.0454,0.0107,0,0.0163,0.1081,0,0.0242,0,0.0502,0.0776,0,0.0182,0.0449,0,0.021,0.0224,0,0.0636,0.0098,0,0.0182,0.0287,0.0033,0,0.0155,0,0.0472,0,0.0067,0.0509,0,0,0,0,0.0177,0.1388,0.1503,0.0105
2005,178402,University of Missouri-Kansas City,0.319999993,79.06999969,14.80000019,1.649999976,4.650000095,94.95999908,63187.36,7.360000134,3.150000095,10.98999977,342,2766,55100,55.1,48600,University of Missouri-Kansas City,Kansas City,MO,64110,39.035366,-94.578039,0.6271,0.627145438,1130,0,0.0104,0.0066,0,0.0599,0,0.022,0,0.0539,0.0462,0,0.0126,0,0,0.0203,0.1012,0,0.0473,0.0082,0,0,0,0.0088,0,0.0737,0,0.0599,0.0258,0,0.044,0,0,0,0,0.0528,0.1616,0.1732,0.0115
2006,178411,Missouri University of Science and Technology,0.079999998,89.70999908,6.199999809,1.350000024,2.190000057,96.38999939,59935.86,7.309999943,3.049999952,10.93999958,105,1282,68400,68.4,43200,Missouri University of Science and Technology,Rolla,MO,65409,37.955853,-91.7759,0.8808,0.880846325,1261,0,0,0,0,0,0,0.0916,0,0,0.6631,0.0462,0,0,0,0.0098,0.0008,0,0.05,0.0136,0,0,0,0.0053,0,0.0394,0,0.0363,0,0,0.0159,0,0,0,0,0,0,0.0189,0.0091
2007,178420,University of Missouri-St Louis,0.349999994,76.56999969,19.54000092,1.629999995,1.720000029,95.91999817,64068.51,7.570000172,3.619999886,11.01000023,405,3176,46300,46.3,31900,University of Missouri-St Louis,Saint Louis,MO,63121-4400,38.711297,-90.308886,0.7588,0.758757062,1105,0,0,0,0.0083,0.068,0,0.0145,0,0.0877,0.0386,0,0.014,0,0,0.0189,0.0491,0,0.0443,0.014,0.0004,0.007,0,0.0057,0,0.0114,0,0.0741,0,0.0298,0.1083,0,0,0,0,0.0399,0.1246,0.2263,0.0149
2013,178615,Truman State University,0.01,89.80999756,6.400000095,1.340000033,2.25,96.36000061,64318.95,6.099999905,2.819999933,11.02000046,92,1204,49800,49.8,33800,Truman State University,Kirksville,MO,63501-4221,40.188238,-92.580531,0.7897,0.78974359,1246,0.0155,0,0,0,0.0466,0,0.0253,0,0,0,0,0.0327,0,0,0.0769,0,0,0.0859,0.0196,0,0.0041,0.1619,0.0065,0,0.027,0,0.0859,0.0278,0,0.0499,0,0,0,0,0.0711,0.0867,0.1447,0.0319
2014,178624,Northwest Missouri State University,0.059999999,92.47000122,4.389999866,0.720000029,2.220000029,97.58000183,55791.06,6.960000038,2.769999981,10.89000034,158,1874,41200,41.2,25700,Northwest Missouri State University,Maryville,MO,64468-6001,40.352706,-94.884341,0.7495,0.749450988,1047,0.0901,0.0153,0,0,0.0805,0,0.0316,0,0.1745,0,0.0115,0.001,0.0134,0,0.0153,0.001,0,0.0489,0.0038,0,0.047,0.0518,0,0,0.0221,0,0.1112,0.0058,0.001,0.0268,0,0,0,0,0.0221,0.0374,0.1812,0.0067
2016,178697,College of the Ozarks,0.029999999,93.23999786,2.529999971,0.529999971,2.900000095,97.25,46804.8,10.14000034,3.269999981,10.72000027,43,488,36800,36.8,23000,College of the Ozarks,Point Lookout,MO,65726-0017,36.616019,-93.238174,0.1236,0.123638693,1069,0.081,0.0312,0,0,0.0623,0.0467,0.028,0.0093,0.1277,0,0,0.0031,0.0249,0,0.0249,0,0,0.0312,0.0156,0,0.0031,0.0436,0,0.0218,0.0156,0,0.053,0.0561,0.0156,0.0187,0,0,0,0,0.053,0.0872,0.134,0.0125
2022,179043,Rockhurst University,0.189999998,84.11000061,9.909999847,1.679999948,4.610000134,94.94999695,68699.32,5.78000021,2.680000067,11.07999992,47,552,53500,53.5,36700,Rockhurst University,Kansas City,MO,64110-2561,39.030843,-94.571249,0.7358,0.735760634,1162,0,0,0,0,0.0153,0,0,0,0.0102,0,0,0.0102,0,0.0153,0.023,0,0,0.1151,0.0077,0,0.0026,0.0665,0.0153,0,0.0102,0,0.087,0.0128,0.0179,0.0639,0,0,0,0,0,0.3197,0.1944,0.0128
2025,179159,Saint Louis University,0.119999997,82.56999969,11.93000031,2.400000095,3.75999999,93.77999878,72169.74,6.179999828,3.039999962,11.11999989,148,2121,61800,61.8,48300,Saint Louis University,Saint Louis,MO,63103-2097,38.636516,-90.23343,0.6333,0.633318479,1257,0,0.0029,0,0.0029,0.0309,0,0.0227,0,0.0261,0.0609,0,0.0102,0,0,0.0082,0.0068,0,0.0812,0.0044,0,0.0015,0.0575,0.0044,0.0053,0.015,0,0.0406,0.016,0.0189,0.0397,0,0,0,0.0092,0.0097,0.2703,0.2461,0.0087
2029,179256,Saint Louis Christian College,0.430000007,74.87000275,21.65999985,1,2.24000001,97.09999847,59406.69,8.100000381,3.730000019,10.93999958,PrivacySuppressed,93,29700,29.7,23800,Saint Louis Christian College,Florissant,MO,63033,38.775771,-90.294569,0.3611,0.361111111,990,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0571,0,0,0,0,0,0,0,0.9429,0,0,0,0,0,0,0,0,0,0,0,0,0,0
